City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,yellowknife,75,CA,1537894800,87,62.45,-114.38,42.8,8.05
1,mataura,92,NZ,1537897993,71,-46.19,168.86,41.07,20.76
2,albany,90,US,1537897680,100,42.65,-73.75,57.92,18.34
3,hasaki,75,JP,1537895220,93,35.73,140.83,64.4,10.29
4,bethel,40,US,1537894380,100,60.79,-161.76,37.94,9.17
5,giresun,92,TR,1537898016,100,40.91,38.39,59.34,3.2
6,cabedelo,75,BR,1537894800,62,-6.97,-34.84,84.2,16.11
7,busselton,68,AU,1537898198,100,-33.64,115.35,54.66,6.22
8,kapaa,90,US,1537897320,84,22.08,-159.32,78.08,18.34
9,ushuaia,75,AR,1537894800,56,-54.81,-68.31,41.0,11.41
10,bredasdorp,0,ZA,1537894800,48,-34.53,20.04,64.4,23.04
11,sao desiderio,8,BR,1537898199,23,-12.36,-44.97,95.52,8.68
12,geraldton,90,CA,1537894800,93,49.72,-86.95,42.8,6.93
13,bluff,0,AU,1537898199,84,-23.58,149.07,60.96,7.78
14,cidreira,80,BR,1537898023,89,-30.17,-50.22,68.34,20.31
15,road town,40,VG,1537894800,66,18.42,-64.62,89.6,12.75
16,aken,0,DE,1537896000,53,51.85,12.05,50.0,4.7
17,bathsheba,40,BB,1537894800,74,13.22,-59.52,86.0,21.92
18,hobart,20,AU,1537896600,86,-42.88,147.33,37.4,8.05
19,port alfred,44,ZA,1537898200,95,-33.59,26.89,65.19,13.15
20,uva,92,RU,1537898200,97,56.98,52.19,52.86,11.03
21,kodiak,90,US,1537897980,93,39.95,-94.76,66.02,9.17
22,kavieng,64,PG,1537898201,100,-2.57,150.8,83.91,13.71
23,tasiilaq,20,GL,1537894200,74,65.61,-37.64,37.4,8.05
24,puri,20,ID,1537894800,83,-7.54,112.45,80.6,5.82
25,san patricio,92,PY,1537898202,89,-26.98,-56.83,74.37,5.21
26,cape town,75,ZA,1537894800,72,-33.93,18.42,59.0,20.8
27,tuktoyaktuk,90,CA,1537894800,79,69.44,-133.03,28.4,3.36
28,fazilka,20,IN,1537898202,87,30.41,74.03,73.29,1.3
29,rikitea,88,PF,1537897976,100,-23.12,-134.97,71.58,24.23
30,torbay,75,CA,1537894800,65,47.66,-52.73,44.6,17.22
31,bambous virieux,40,MU,1537894800,73,-20.34,57.76,73.4,12.75
32,thompson,75,CA,1537894800,86,55.74,-97.86,39.2,2.24
33,east london,0,ZA,1537894800,77,-33.02,27.91,62.6,13.87
34,indianola,1,US,1537896900,39,40.24,-100.42,64.22,24.16
35,avera,75,US,1537896900,72,33.19,-82.53,84.2,5.82
36,upernavik,76,GL,1537898204,100,72.79,-56.15,31.17,5.99
37,longyan,0,CN,1537898204,92,25.1,117.03,62.94,1.86
38,castro,76,CL,1537898204,70,-42.48,-73.76,50.34,8.68
39,ribeira grande,20,PT,1537896600,73,38.52,-28.7,75.2,10.29
40,oussouye,40,SN,1537894800,79,12.49,-16.54,86.0,6.93
41,spisska bela,20,SK,1537896600,87,49.19,20.46,39.2,10.29
42,morges,0,CH,1537896000,44,46.51,6.5,60.8,9.17
43,hilo,75,US,1537896180,87,19.71,-155.08,77.0,3.36
44,biltine,92,TD,1537898206,23,14.53,20.93,89.58,7.34
45,severo-kurilsk,56,RU,1537898038,97,50.68,156.12,49.44,9.46
46,colares,0,PT,1537896600,30,38.8,-9.45,86.0,9.17
47,anadyr,40,RU,1537894800,93,64.73,177.51,42.8,15.66
48,puerto baquerizo moreno,75,EC,1537894800,73,-0.9,-89.6,75.2,13.87
49,new norfolk,20,AU,1537896600,86,-42.78,147.06,37.4,8.05
50,georgetown,75,GY,1537894800,55,6.8,-58.16,91.4,9.17
51,kaitangata,76,NZ,1537898207,70,-46.28,169.85,40.89,24.9
52,havoysund,75,NO,1537896000,75,71.0,24.66,41.0,17.22
53,vangaindrano,20,MG,1537898208,87,-23.35,47.6,66.81,4.21
54,celestun,8,MX,1537898208,98,20.87,-90.4,84.36,7.34
55,timbiqui,68,CO,1537898208,93,2.77,-77.67,81.84,5.77
56,lompoc,90,US,1537896900,87,34.64,-120.46,62.06,3.2
57,codrington,92,AU,1537898209,100,-28.95,153.24,52.86,2.98
58,hithadhoo,80,MV,1537898209,100,-0.6,73.08,84.45,14.5
59,ozinki,76,RU,1537898209,45,51.2,49.73,61.77,14.38
60,saint-philippe,90,CA,1537897260,87,45.36,-73.48,55.4,18.34
61,arraial do cabo,0,BR,1537894800,61,-22.97,-42.02,82.4,11.41
62,clyde river,90,CA,1537896900,100,70.47,-68.59,30.2,3.36
63,chokurdakh,88,RU,1537898210,93,70.62,147.9,31.35,8.79
64,kumba,76,CM,1537898210,92,4.64,9.44,73.11,3.65
65,sann,0,PK,1537894800,55,26.04,68.14,87.8,6.93
66,pontianak,40,ID,1537894800,94,-0.02,109.34,73.4,2.86
67,ahipara,80,NZ,1537898211,84,-35.17,173.16,54.93,16.51
68,pacific grove,40,US,1537896900,77,36.62,-121.92,60.8,5.82
69,barrow,68,AR,1537898211,51,-38.31,-60.23,67.71,11.81
70,saint george,75,GR,1537896000,34,39.45,22.34,66.2,11.41
71,lorengau,32,PG,1537898211,100,-2.02,147.27,82.11,6.22
72,jinji,48,CN,1537898212,94,22.16,112.49,71.22,1.97
73,kununurra,40,AU,1537896600,88,-15.77,128.74,68.0,4.7
74,kruisfontein,12,ZA,1537898212,95,-34.0,24.73,59.79,12.48
75,puerto ayora,40,EC,1537894800,61,-0.74,-90.35,78.8,14.99
76,woodward,40,US,1537895700,47,36.43,-99.39,75.92,20.8
77,salalah,0,OM,1537894200,78,17.01,54.1,78.8,3.36
78,hermanus,24,ZA,1537898213,68,-34.42,19.24,56.19,13.94
79,hambantota,24,LK,1537898213,100,6.12,81.12,80.04,9.69
80,samarai,76,PG,1537898044,100,-10.62,150.67,77.07,16.62
81,punta arenas,20,CL,1537894800,65,-53.16,-70.91,44.6,9.17
82,gaspe,75,CA,1537894800,78,48.83,-64.48,55.4,11.41
83,ilulissat,40,GL,1537894200,80,69.22,-51.1,33.8,9.17
84,henties bay,0,NA,1537898153,93,-22.12,14.28,57.18,11.7
85,popondetta,76,PG,1537898214,96,-8.77,148.24,66.81,1.86
86,shelburne,90,CA,1537897140,88,44.08,-80.2,68.0,9.17
87,richards bay,0,ZA,1537898214,61,-28.77,32.06,79.41,13.49
88,butaritari,0,KI,1537898214,100,3.07,172.79,83.64,13.6
89,paka,0,HR,1537896600,66,45.29,18.06,48.2,6.93
90,fortuna,40,ES,1537896600,83,38.18,-1.13,82.4,13.87
91,pringsewu,0,ID,1537898215,92,-5.36,104.98,72.39,2.3
92,tupik,0,RU,1537898215,86,54.43,119.94,34.59,4.21
93,antofagasta,0,CL,1537894800,63,-23.65,-70.4,62.6,12.75
94,srednekolymsk,36,RU,1537898076,94,67.46,153.71,26.22,2.42
95,dikson,92,RU,1537898215,94,73.51,80.55,40.26,31.05
96,tuatapere,92,NZ,1537898086,100,-46.13,167.69,43.59,24.56
97,jamestown,0,AU,1537898066,83,-33.21,138.6,38.46,4.88
98,nadym,36,RU,1537898216,93,65.53,72.51,52.77,7.78
99,ngerengere,75,TZ,1537894800,57,-6.76,38.13,80.6,3.2
100,nanortalik,0,GL,1537898216,93,60.14,-45.24,37.92,21.77
101,grand gaube,40,MU,1537894800,73,-20.01,57.66,73.4,12.75
102,atuona,0,PF,1537898217,100,-9.8,-139.03,78.78,10.69
103,luwuk,44,ID,1537898217,88,-0.95,122.79,77.97,6.89
104,provideniya,8,RU,1537898217,100,64.42,-173.23,41.79,6.22
105,nikolskoye,40,RU,1537894800,49,59.7,30.79,46.4,15.66
106,alice springs,0,AU,1537896600,32,-23.7,133.88,51.8,3.36
107,carnarvon,0,ZA,1537897991,17,-30.97,22.13,60.51,16.73
108,mar del plata,92,AR,1537898218,88,-46.43,-67.52,44.58,8.12
109,makakilo city,1,US,1537894620,79,21.35,-158.09,80.06,3.36
110,victoria,75,BN,1537896600,88,5.28,115.24,78.8,2.24
111,vao,48,EE,1537898021,60,59.1,26.19,49.35,12.03
112,hornepayne,44,CA,1537898218,83,49.22,-84.78,59.52,3.76
113,luderitz,8,NA,1537898219,85,-26.65,15.16,55.47,11.81
114,avarua,40,CK,1537894800,78,-21.21,-159.78,75.2,4.7
115,port elizabeth,90,US,1537896000,82,39.31,-74.98,80.06,13.87
116,turochak,92,RU,1537898219,93,52.26,87.12,45.21,3.09
117,yokadouma,20,CM,1537898219,85,3.52,15.05,74.64,2.75
118,challapata,0,BO,1537898220,58,-18.9,-66.78,50.52,7.45
119,lebu,0,ET,1537898220,51,8.96,38.73,54.39,5.66
120,saint anthony,1,US,1537894560,9,43.97,-111.68,51.98,4.7
121,sibolga,88,ID,1537898220,100,1.74,98.78,70.14,0.74
122,isangel,92,VU,1537898220,100,-19.55,169.27,73.2,15.28
123,egvekinot,88,RU,1537898046,96,66.32,-179.17,32.79,2.42
124,mahebourg,40,MU,1537894800,73,-20.41,57.7,73.4,12.75
125,bowen,40,AU,1537894800,88,-20.01,148.25,62.6,5.82
126,manono,8,CD,1537898221,67,-7.3,27.4,80.31,2.53
127,cherskiy,20,RU,1537898038,97,68.75,161.3,23.97,2.42
128,diffa,0,NE,1537898221,44,13.32,12.61,87.15,4.65
129,touros,12,BR,1537897924,68,-5.2,-35.46,83.82,17.4
130,qaanaaq,0,GL,1537898222,100,77.48,-69.36,14.79,4.76
131,los llanos de aridane,20,ES,1537896600,78,28.66,-17.92,77.0,8.05
132,assare,0,BR,1537898222,31,-6.87,-39.88,95.16,9.35
133,yilan,75,TW,1537894800,83,24.75,121.75,77.0,5.82
134,norman wells,90,CA,1537894800,98,65.28,-126.83,33.8,3.53
135,honiara,75,SB,1537895400,100,-9.43,159.96,75.2,9.17
136,aklavik,90,CA,1537894800,92,68.22,-135.01,28.4,9.17
137,portland,1,US,1537894380,64,45.52,-122.67,64.94,3.36
138,sao joao da barra,20,BR,1537894800,55,-21.64,-41.05,86.0,13.87
139,port hedland,0,AU,1537896600,88,-20.31,118.58,68.0,6.93
140,mehamn,0,NO,1537894200,94,71.03,27.85,41.0,11.41
141,boli,8,CN,1537898224,84,45.76,130.56,43.14,3.98
142,san vicente,20,SV,1537897800,66,13.64,-88.78,91.4,3.2
143,alekseyevka,40,RU,1537894800,42,53.25,50.49,64.4,24.61
144,monastyrshchina,68,RU,1537898225,81,54.35,31.84,43.14,13.04
145,tibati,88,CM,1537898225,97,6.47,12.63,66.81,4.21
146,palmer,0,AU,1537896600,70,-34.85,139.16,48.2,3.36
147,tucupita,64,VE,1537898226,69,9.06,-62.05,87.24,7.45
148,hualmay,20,PE,1537898226,61,-11.1,-77.61,72.12,6.22
149,port hueneme,90,US,1537895280,70,34.15,-119.2,66.92,2.64
150,moyale,0,ET,1537898226,94,3.52,39.05,62.31,1.63
151,beloha,0,MG,1537898226,72,-25.17,45.06,71.76,5.99
152,puerto escondido,75,MX,1537893660,70,15.86,-97.07,84.2,6.93
153,narsaq,20,GL,1537894200,35,60.91,-46.05,41.0,11.41
154,samana,75,EC,1537894800,52,0.12,-76.97,91.4,4.7
155,eganville,90,CA,1537894800,93,45.54,-77.1,57.2,12.75
156,teplodar,0,UA,1537894800,66,46.51,30.33,50.0,11.18
157,sept-iles,75,CA,1537894800,53,50.2,-66.38,50.0,12.75
158,yamada,20,JP,1537894800,77,36.58,137.08,64.4,12.75
159,parkersburg,90,US,1537896060,86,39.27,-81.55,71.06,10.29
160,sinegorye,12,RU,1537898228,79,62.09,150.53,10.2,1.97
161,neuquen,0,AR,1537894800,22,-38.95,-68.06,66.2,3.36
162,souillac,0,FR,1537896600,30,45.6,-0.6,68.0,12.75
163,kutum,92,SD,1537898229,17,14.2,24.66,87.96,9.24
164,elko,1,US,1537894560,9,40.83,-115.76,51.98,3.65
165,ravar,8,IR,1537898229,33,31.27,56.81,60.69,3.98
166,coolum beach,80,AU,1537898229,100,-26.53,153.09,60.33,3.31
167,longyearbyen,90,NO,1537894200,100,78.22,15.63,32.0,17.22
168,alofi,40,NU,1537894800,94,-19.06,-169.92,68.0,4.76
169,prosotsani,40,GR,1537896000,71,41.18,23.97,57.2,5.82
170,mikkeli,0,FI,1537896000,93,61.69,27.27,37.4,11.59
171,north bend,1,US,1537895700,67,43.41,-124.22,64.4,8.05
172,karratha,0,AU,1537898231,27,-20.74,116.85,72.3,10.8
173,chuy,76,UY,1537897994,87,-33.69,-53.46,64.74,17.29
174,praia da vitoria,40,PT,1537894800,83,38.73,-27.07,75.2,11.59
175,khatanga,36,RU,1537897998,84,71.98,102.47,29.19,9.24
176,damavand,0,IR,1537894800,25,35.72,52.07,75.2,4.7
177,sinop,100,TR,1537898231,100,42.03,35.15,62.85,16.73
178,san blas,40,MX,1537893900,74,21.54,-105.29,78.8,2.3
179,bandarbeyla,0,SO,1537898232,96,9.49,50.81,77.7,22.21
180,borogontsy,76,RU,1537898232,91,62.67,131.17,36.84,2.53
181,creel,0,MX,1537898232,39,27.75,-107.63,76.44,2.42
182,taga,75,JP,1537894800,77,35.21,136.34,68.0,12.75
183,jalu,0,LY,1537898233,35,29.03,21.55,85.62,8.68
184,deputatskiy,68,RU,1537898233,96,69.3,139.9,28.38,2.98
185,hervey bay,80,AU,1537898233,97,-25.3,152.85,67.35,7.78
186,katobu,0,ID,1537898233,100,-4.94,122.53,76.71,4.76
187,dongsheng,92,CN,1537898233,74,29.72,112.52,67.26,11.14
188,kavaratti,64,IN,1537898234,100,10.57,72.64,82.38,12.82
189,birobidzhan,0,RU,1537898234,91,48.79,132.93,38.01,2.53
190,tucurui,75,BR,1537894800,58,-3.77,-49.67,87.8,5.82
191,ahuimanu,1,US,1537894620,93,21.44,-157.84,80.06,4.99
192,vung tau,40,VN,1537896600,94,10.35,107.08,78.8,4.7
193,komsomolskiy,88,RU,1537898234,91,67.55,63.78,46.65,5.44
194,haysville,75,US,1537897080,65,37.56,-97.35,82.04,10.29
195,atar,88,MR,1537898235,19,20.52,-13.05,96.96,6.33
196,changtu,0,CN,1537898235,80,42.78,124.11,40.26,2.86
197,selvik,0,NO,1537896000,58,59.57,10.26,57.2,16.11
198,sao filipe,0,CV,1537898236,91,14.9,-24.5,80.04,11.59
199,belaya gora,92,RU,1537898236,93,68.54,146.19,31.26,3.2
200,champerico,75,MX,1537894320,78,16.38,-93.6,77.0,1.63
201,turtas,0,RU,1537898236,84,58.94,69.13,59.43,7.0
202,emba,20,CY,1537896600,83,34.81,32.42,80.6,6.93
203,finca blanco,44,PA,1537898237,98,8.38,-82.87,82.2,4.43
204,daloa,64,CI,1537898237,85,6.88,-6.45,81.39,2.86
205,cap-aux-meules,20,CA,1537894800,50,47.38,-61.86,51.8,8.05
206,idah,20,NG,1537898237,96,7.11,6.73,75.54,3.2
207,collie,0,AU,1537898238,86,-33.36,116.15,43.32,2.86
208,pedernales,32,EC,1537898238,73,0.07,-80.05,86.25,6.89
209,tiksi,88,RU,1537897975,98,71.64,128.87,33.78,14.72
210,salym,8,RU,1537898238,93,60.06,71.48,56.64,5.99
211,teguise,20,ES,1537896600,88,29.06,-13.56,75.2,12.75
212,bukachacha,0,RU,1537898239,77,52.99,116.91,34.59,2.3
213,teeli,76,RU,1537898239,100,51.01,90.2,30.81,2.64
214,illela,0,NG,1537898239,64,12.25,4.3,83.91,6.55
215,ponta do sol,0,BR,1537898239,36,-20.63,-46.0,90.12,7.34
216,buraydah,40,SA,1537894800,20,26.33,43.97,98.6,5.82
217,san gabriel,90,US,1537897260,78,34.1,-118.11,68.0,3.36
218,esik,0,KZ,1537894800,70,43.36,77.47,48.2,4.47
219,abeche,44,TD,1537898240,31,13.83,20.83,86.7,6.89
220,baker city,1,US,1537894560,48,44.77,-117.83,53.96,3.36
221,berlevag,0,NO,1537894200,64,70.86,29.09,39.2,17.22
222,kamenka,12,RU,1537898241,90,53.19,44.05,45.66,11.03
223,placer,1,US,1537894560,4,42.63,-123.32,66.92,10.29
224,alexandria,90,US,1537896900,86,31.31,-92.44,89.06,4.43
225,saldanha,0,PT,1537897980,35,41.42,-6.55,73.92,4.21
226,lisala,8,CD,1537898242,91,2.15,21.52,74.28,3.42
227,aguas formosas,8,BR,1537898242,35,-17.08,-40.94,88.05,8.46
228,cabo san lucas,20,MX,1537893900,74,22.89,-109.91,87.8,3.36
229,laguna,75,MX,1537893600,66,27.52,-110.01,87.8,3.31
230,half moon bay,20,US,1537897140,82,37.46,-122.43,66.02,3.36
231,flinders,90,AU,1537894800,87,-34.58,150.85,51.8,2.75
232,sokoni,0,CD,1537898243,50,-12.89,28.78,71.85,3.65
233,kahului,1,US,1537894560,87,20.89,-156.47,75.2,3.36
234,sheridan,1,US,1537896900,6,39.65,-105.03,59.9,5.82
235,esperance,40,TT,1537894800,62,10.24,-61.45,89.6,17.22
236,qaqortoq,20,GL,1537894200,35,60.72,-46.03,41.0,11.41
237,marawi,88,PH,1537898244,100,8.0,124.29,68.7,2.75
238,le port,24,FR,1537898244,56,42.87,1.37,57.99,0.74
239,seymchan,24,RU,1537898244,90,62.93,152.39,18.48,1.41
240,mala,8,PE,1537898245,95,-12.66,-76.63,64.38,4.76
241,loikaw,36,MM,1537898245,100,19.67,97.21,65.55,2.42
242,puerto del rosario,0,ES,1537896600,88,28.5,-13.86,77.0,10.29
243,hokitika,68,NZ,1537898095,93,-42.72,170.96,50.52,25.46
244,macas,0,EC,1537898242,63,-2.3,-78.12,81.12,4.99
245,alta,40,NO,1537896000,70,69.97,23.27,42.8,13.87
246,douala,88,CM,1537898246,92,4.04,9.71,75.9,1.41
247,katsuura,44,JP,1537898246,100,33.93,134.5,68.16,9.69
248,jaswantnagar,0,IN,1537898246,83,26.88,78.91,76.8,8.23
249,cockburn town,76,TC,1537898066,97,21.46,-71.14,83.73,18.52
250,cayenne,0,GF,1537896600,59,4.94,-52.33,91.4,5.82
251,ajdabiya,0,LY,1537898247,58,30.75,20.22,79.68,9.01
252,aurillac,0,FR,1537896600,55,44.93,2.44,64.4,4.7
253,te anau,88,NZ,1537898247,89,-45.41,167.72,34.95,8.68
254,nome,75,US,1537895700,89,30.04,-94.42,83.48,3.36
255,airai,0,TL,1537898247,89,-8.93,125.41,63.12,1.97
256,matara,75,PE,1537894800,328,-13.74,-72.9,37.4,8.05
257,progreso,0,UY,1537894800,46,-34.68,-56.22,69.8,18.34
258,nioro,64,GM,1537898248,76,13.79,-15.05,85.26,6.44
259,den helder,20,NL,1537896300,76,52.96,4.76,57.2,5.82
260,vila franca do campo,20,PT,1537896600,73,37.72,-25.43,75.2,13.87
261,linqu,48,CN,1537898209,86,36.52,118.54,58.44,3.42
262,pingliang,92,CN,1537898249,98,35.54,106.68,49.08,3.65
263,harper,75,US,1537895700,66,30.3,-99.24,82.04,10.29
264,mandalgovi,88,MN,1537898249,41,45.76,106.27,49.08,2.19
265,siteki,0,SZ,1537894800,69,-26.45,31.95,73.4,12.15
266,itarema,0,BR,1537898249,52,-2.92,-39.92,89.49,18.86
267,atbasar,0,KZ,1537898250,74,51.81,68.36,47.55,7.34
268,faanui,48,PF,1537898250,100,-16.48,-151.75,77.61,14.27
269,russell,0,AR,1537894800,31,-33.01,-68.8,75.2,6.93
270,sandviken,32,SE,1537898250,60,60.62,16.77,49.71,10.69
271,derzhavinsk,0,KZ,1537898251,73,51.1,66.31,49.71,9.8
272,sao felix do xingu,12,BR,1537898251,50,-6.64,-51.99,91.83,2.75
273,vitim,8,RU,1537898251,77,59.44,112.57,35.76,3.53
274,rantepao,32,ID,1537898251,100,-2.97,119.9,62.49,1.86
275,guarapuava,92,BR,1537898251,67,-25.4,-51.46,77.52,3.65
276,vestmanna,92,FO,1537896000,100,62.16,-7.17,50.0,16.11
277,kumi,48,UG,1537898252,90,1.49,33.93,63.12,2.64
278,strezhevoy,40,RU,1537894800,100,60.73,77.6,53.6,2.24
279,dingle,20,PH,1537898252,86,11.0,122.67,75.9,7.67
280,okhotsk,0,RU,1537898253,100,59.36,143.24,37.11,4.21
